issue,output,5_1examples,5_2examples,5_3examples,5_4examples,5_5examples,10_1examples,10_2examples,10_3examples,10_4examples,10_5examples,15_1examples,15_2examples,15_3examples,15_4examples,15_5examples
""""""" Hello everyone! I've built an simple server-side only express API connected to MongoDB for an app. I'm creating the front end differently and using http GET to request information and so on to the server. Where can I host this express server for free for testing?? does heroku take server only files? """"""","The sentence """""" I'm creating the front end differently and using http GET to request information and so on to the server. """""" uses <pattern>using sth to VB</pattern> to indicate that the user expects to ""request information to the server"". The answer is YES.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Hi, is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs, as well as multiple outputs? I need to use a computation graph with several input and several output layers, but I can't figure out how to feed in the (csv) data """"""","The sentence """""" is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs """""" uses <pattern>is there a way to VB</pattern> to indicate that the user expects to ""modify a RecordReaderDataSetIterator"". The answer is YES.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" I'm creating a new platform on Ethereum. The issue I see arising is funding so I'm going to do an ICO. Since I am not reputable in the community, I would like to have a reputable developer advise for my project or perhaps work with me.  Any ideas of where to start or ask around? """"""","The sentence """""" I would like to have a reputable developer advise for my project or perhaps work with me. """""" uses <pattern>would like to VB</pattern> indicate that the user expects to ""have a reputable developer advise"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
""""""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """"""","The sentence """""" but know I had to import in every single component to have it avaliable """""" uses <pattern>had to VB</pattern> to indicate that the user expects to ""import in every single component to have it avaliable"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" is it possible to simulate/inject various network issues in nodejs, specifically tcp  connect timeouts and others? """"""","The sentence """""" is it possible to simulate/inject various network issues in nodejs """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""simulate/inject various network issues in nodejs"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" i need help  I'm working a project that requires having a form & a table to display d data filled in the form in a modal popup. I've created the form & d popup is working OK, but when i add the table,  everything goes blank,  will appreciate if anyone can help out """"""","The sentence """""" i need help  I'm working a project that requires having a form & a table to display d data filled in the form in a modal popup """""" uses <pattern>that requires VBG</pattern> to indicate that the user expects the project to have ""a form & a table to display d data filled in the form in a modal popup"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to indicate that the user expects to ""test a component"". The answer is YES.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
""""""" guys, can somebody help me w/ chained resolvers? What is a proper approach to chain resolves? e.g. a components needs result from resolverA; resolverA builds a query depending on a result from resolverB. """"""","The sentence """""" e.g. a components needs result from resolverA; """""" uses an example start with <pattern>e.g. a NNS VBZ</pattern> to indicate that the user expects the result from ""resolverA"". The answer is YES.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
""""""" Hey - anyone got a minute to help my with my naming convention? My object/interface names kinda suck. Interface: [<-CODE->] Concrete implementation: [<-CODE->] Not only do my names for these things suck - they are also confusing (even to me!) Ideally, my interface would be called Fooable but I can't get the right word """"""","The sentence """""" Ideally, my interface would be called Fooable but I can't get the right word """""" uses <pattern>Ideally sth would be</pattern> to indicate that the user expects the interface to ""be called Fooable"". The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
""""""" I am moving from Java and .Net on the backend too looking at Node with an Angular 2 front end. Since I am planning on using the Angular CLI, Webpack package. Has anyone integrated this template with the server side, connect to a database and provide a descent example? instead of having the ngFor on its own element, have you placed it as a attribute on the other elements? So it is not in the resulting DOM structure which interferes with the CSS """"""","The sentence """""" instead of having the ngFor on its own element """""" uses <pattern>instead of VBG</pattern> to indicate that the user's expectation is NOT ""having the ngFor on its own element."" The answer is YES.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
""""""" Hi Team, GM. I am working on binding dynamic objects/property values to html. [code] I am having issue with above defined syntax. Can you please help me how to update dynamic values in the Object. Thanks in advance. """"""","The sentence """""" I am working on binding dynamic objects/property values to html """""" uses <pattern>working on VBG</pattern> indicate that the user expects ""binding dynamic objects/property values to html"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
""""""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """"""","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to indicate that the user expects to ""build large SPAs with Angular"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Hi all, I am looking for a schedular similar to fullCalendar for angular but a pure free & opensource (must include timeline view , month, year & day view), any recommendations on it would really be of a greater help.... """"""","The sentence """""" must include timeline view, month, year & day view """""" uses <pattern>must VB</pattern> to indicate that the user expects the calendar to include ""timeline view, month, year & day view"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
""""""" I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2. however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined """"""","The sentence """""" I am going to create chatbot using websockets in Angular2. """""" uses <pattern>going to VB</pattern> to indicate that the user expects to ""create chatbot using websockets in Angular2"". The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
""""""" I have a service that fetches data form an API. This data is language dependant, and the base URL changes according to the language. How can I make the app work dependant on the language switch? I've implemented a component to switch languages and the main component is aware of these changes. But how do I store the active language value (and where) in order for the service to always fetch it? """"""","The sentence """""" But how do I store the active language value (and where) in order for the service to always fetch it? """""" uses <pattern>in order for sth to VB</pattern> to indicate that the user expects ""the service to always fetch it"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi, Is it possible to make a directive required in a component? We have various common components that all need to make use of a directive.   I want to make sure the developer is alerted if the directive is not applied during coding.  I was hoping to use something like an interface, but donat know if it is possible. Any ideas anyone?? Thanks. """"""","The sentence """""" I was hoping to use something like an interface """""" uses <pattern>hoping to VB</pattern> to indicate that the user expects to ""use something like an interface"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Hey, is there native compiler for typescript? I see that on github compiler is written in typescript, and it takes a lot of time to distribute (and I guess native one would be faster?). By native I mean something written in c++ or c# compiled to dll or exe. """"""","The sentence """""" By native I mean something written in c++ or c# compiled to dll or exe """""" uses <pattern>I mean something</pattern> to indicate that the user expects ""something written in c++ or c#"". The answer is YES.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi, I am aware that DL4J is recommended to be used with Java 8 but is there any way I can use DL4J with Java 10 and IntelliJ (with or w/out Maven is fine, knowing that Maven have some quirks with Java 10 as well). I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. I have success so far by getting rid of all the exceptions through from the dl4j-examples but I still have this exception: ""Error:java: java.lang.ExceptionInInitializerError"" No worries, thanks. Here's my gist: [<-LINK->] """"""","The sentence """""" I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. """""" uses <pattern>thinking of VBG</pattern> to indicate that the user expects to ""build with Maven with java SDK 8"". The answer is YES.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
""""""" Hi to all.  I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend.  I was looking into UI frameworks for Angular 2 and found:  I would like to ask if any have experience with it and how it goes, or perhaps if you have a better recommendation it will be appreciated. thanks in advance """"""","The sentence """""" I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend. """""" uses <pattern>planning to VB</pattern> to indicate that the user expects to ""develop a UI frontend for a Rest Backend"". The answer is YES.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi mlc-mlapis , Thank you once again for the great explanation. small question, even if I can't work with NG bindings,  I still can access HTML elements using ```querySelector```, ```getElementById``` like methods in the ```somePureHtmlCode```,  and bind events or do page navigations can't I? Or to gain full DOM control. is it better to use an iFrame instead? Thank you very much. """"""","The sentence """""" is it better to use an iFrame instead? """""" uses <pattern>better to VB</pattern> to indicate that the user expects to ""use an iFrame"". The answer is YES.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
""""""" There's an option in angular-cli--extract-css. What's the pro/const ? i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example. But what about prod ? Is it better to have styles in js or css ? """"""","The sentence """""" i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example """""" uses <pattern>supposed to VB</pattern> to indicate that the user expects to ""use angular-cli--extract-css in dev"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Hey there, I'm looking for some information that I can't seem to find elsewhere. I need to write a tool that will output a map of defined routes in my Angular application, but I can't seem to find a way to parse the files. I've tried pulling the data out with Regexes, but it seems too complex to reasonably manage. I've attempted importing my `app-routing.module.ts` file from an external Node project with a dynamic import, but it can't seem to justify the imports within the Angular file itself. All I really need is a way to interact with the Route[] defined in each file from my own code. The next idea I have is to try and set up something like Storybook, where I can provide a package that lets me import the routes module in a code file in my application, then run an `npx` script to dump the data I want. Does anyone know where I can find documentation on writing these kinds of plugins? I suppose Jasmine would be a better example, where it interacts solely with the `*.spec.ts` files in a project. """"""","The sentence """""" The next idea I have is to try and set up something like Storybook """""" uses <pattern>the next idea (I have) is to VB</pattern> to indicate that the user expects to ""try and set up something like Storybook"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Having an issue with strict typescript checking where I am attempting to assign an async observable to a property expecting any[] and it tells me cannot assign type customers[] | null to type any[], but I am using the ! to ensure it will be defined after the Input() and this is working perfectly fine in another component so I don't understand where the issue is occurring """"""","The sentence """""" Having an issue with strict typescript checking where I am attempting to assign an async observable to a property expecting any[] and it tells me cannot assign type customers[] """""" uses <pattern>attempting to VB</pattern> to indicate that the user expects to ""assign an async observable to a property"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi,  I would like to lazy load the Vue runtime in Angular.  I have an ng app which might (or might not) load another app. This (second) app is based on Vue and expects the Vue runtime to be already available.  Vue seems to be available as a module: [link]  Is it possible to lazy load this with the import().then() approach?  Thanks! """"""","The sentence """""" This (second) app is based on Vue and expects the Vue runtime to be already available """""" uses <pattern>expects sth to VB</pattern> to indicate that the user expects ""the Vue runtime to be already available"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Hi Everyone,  I'm considering configuring a multi-project repo.  I realise that the nx tools exist but wandered how far I can get with the standard angular-cli setup.  Indeed I would rather not have to really on a further tool beyond angular cli.  I've read that Angular CLI supports multi project repos. However I'm after information of how to configure build and test of these atomically (along with how to transition from a traditional angular CLI repo).  I was wandering whether any of you friendly folk may have written an article on this (accessible if not registered on medium) or indeed have any tips? """"""","The sentence """""" I'm considering configuring a multi-project repo """""" uses <pattern>considering VBG</pattern> to indicate that the user expects to ""configure a multi-project repo"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Currently I have a shared module with two reusable components which needs that pipe. Currently the pipe is only needed within the component, though technically reusable. It surely might make sense to e.g. export it, but it drives me nuts that I get an error if I don't. Oh I might have done an *obvious* mistake with the two component """"""","The sentence """""" It surely might make sense to e.g. export it """""" uses <pattern>make sense to VB</pattern> to indicate that the user expects to ""export the component"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi Everyone,  I'm considering configuring a multi-project repo.  I realise that the nx tools exist but wandered how far I can get with the standard angular-cli setup.  Indeed I would rather not have to really on a further tool beyond angular cli.  I've read that Angular CLI supports multi project repos. However I'm after information of how to configure build and test of these atomically (along with how to transition from a traditional angular CLI repo).  I was wandering whether any of you friendly folk may have written an article on this (accessible if not registered on medium) or indeed have any tips? """"""","The sentence """""" Indeed I would rather not have to really on a further tool beyond angular cli """""" uses <pattern>would rather not have to VB</pattern> to indicate that the user expects not to ""really on a further tool beyond angular cli"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" I am dealing with a large dataset and aMatAutocomplete.  Anyone have any recommendations getting it to work faster? My filter is taking almost a second to complete when checking  ~300 objects string properties to see if they contain the typed in string, and I envision that data set to become much larger. """"""","The sentence """""" and I envision that data set to become much larger """""" uses <pattern>I envision that</pattern> to indicate that the user expects data set to ""become much larger"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
""""""" Hello guys! I am learning with EarlyStopping using the parameter maxEpochsWithNoImprovement. Most of the cases the EarlyStopping stops the learning in the 5th epoch and the best epoch reported is 0, but I think it is not correct because I am checking the score in each epoch. Any idea? """"""","The sentence """""" I am learning with EarlyStopping using the parameter maxEpochsWithNoImprovement """""" uses <pattern>learning with sth</pattern> to indicate that the user expects ""EarlyStopping"" to ""use the parameter maxEpochsWithNoImprovement"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi everyone! I am using ngx-translate-messageformat-compiler in Angular, but according to their documentation, they require 'unsafe-eval' for the script-src.  Is there any alternative that anyone knows about?  I researched. But it doesn't seem to have any API reference for Angular. Anyone knows any better solution? """"""","The sentence """""" but according to their documentation, they require 'unsafe-eval' for the script-src """""" uses <pattern>according to [documentation], they require...</pattern> to indicate that the user expects to ""'unsafe-eval' for the script-src"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" I'm fairly new to Maven, but all I want is to be able to access the libraries. My Maven project is already set up correctly and I am actively using to load a number of dependencies. """"""","The sentence """""" but all I want is to be able to access the libraries. """""" uses <pattern>all I want is to VB</pattern> to indicate that the user expects to ""be able to access the libraries"". The answer is YES.",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
""""""" Hello, after applying a transform in data (e.g. RotateImageTransform) is there an easy way to check the rotated images optically? I know about showImageTransform but this example just shows the images before any transform. What about after? I need to apply again a showImageTransform after using a different transformation """"""","The sentence """""" I need to apply again a showImageTransform after using a different transformation """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""apply again a showImageTransform"". The answer is YES.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi can someone help me to design and issue a cryptocurrency ? not for free definitely. I need some one who can work with me I cannot put the whole thing on here but I want to create cryptocurrency For a fashion brand. His own project is fine. But project should have an idea and business behind it. It's not just about making a cryptocurrency and dumping into the market to trade. """"""","The sentence """""" But project should have an idea and business behind it. """""" uses <pattern>should VB</pattern> to indicate that the user expects project to ""have an idea and business behind it"". The answer is YES.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi all, I have a question regarding @Outputs and EventEmitters. Would it be future-safe to use Observables as @Outputs rather than EventEmitters or is it still recommended to use only EventEmitters? I believe the EventEmitter was created to allow later changes to the API that deviated from Subject, but afaia nothing has really happened on that front. """"""","The sentence """""" Would it be future-safe to use Observables as Outputs rather than EventEmitters or is it still recommended to use only EventEmitters? """""" uses <pattern>would it be ADJ to VB</pattern> to indicate that the user expects to ""use Observables as Outputs"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Hello everyone! I've built an simple server-side only express API connected to MongoDB for an app. I'm creating the front end differently and using http GET to request information and so on to the server. Where can I host this express server for free for testing?? does heroku take server only files? """"""","The sentence """""" Where can I host this express server for free for testing? """""" uses <pattern>where can I VB</pattern> to indicate that the user expects to ""host this express server for free for testing"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hey guys - I have a custom  RouteReuseStrategy for which I also use the  data property to determine if a route should be kept. The thing is that the property is always undefined when I log it in the shouldDetach function. Does anyone know what I am doing wrong? """"""","The sentence """""" I have a custom  RouteReuseStrategy for which I also use the  data property to determine if a route should be kept. """""" uses <pattern>use sth to VB</pattern> to indicate that the user expects to ""determine if a route should be kept"". The answer is YES.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Is there a way to reduce CPU load when using CUDA backend? I am running a RNN encoder and found gpu load is really low while all CPU core are running close to 80%. e.g. reduce number of blas threads. But I expect this will also hurt performance, right? BTW, I am using ND4J 0.8.0 """"""","The sentence """""" Is there a way to reduce CPU load when using CUDA backend? """""" uses <pattern>is there a way to VB</pattern> to indicate that the user expects to ""reduce CPU load when using CUDA backend"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi all. Have an interesting use case. I would like to run docker swarm in such a way that allows nodes to have a mounted volume in a running container, that the manager isnotable to access. Is this possible? artifactory  [<-LINK->] ECR will give you trouble because it rotates the password every few hours so you have to use theawsclito generate a new one """"""","The sentence """""" I would like to run docker swarm in such a way that allows nodes to have a mounted volume in a running container """""" uses <pattern>would like to VB</pattern> to indicate that the user expects to ""run docker swarm in such a way that allows nodes to have a mounted volume in a running container"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Just asking my question from earlier again in hopes someone who knows a good bit about RL4J sees it: Can i expect success  from a reinforcement learning agent that has to choose between 744 different actions (actionsize=744)? """"""","The sentence """""" Can i expect success  from a reinforcement learning agent that has to choose between 744 different actions (actionsize=744)? """""" uses <pattern>has to VB</pattern> to indicate that the user expects ""reinforcement learning agent"" to ""choose between 744 different actions"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi all,  is there a way I can use ngSwitch and have the ngSwitchCase blocks render a specific ID referenced ng-template somewhere further down the document? I am asking from a purely organizational perspective. Is it possible to create a <ng-template #someReferenceId/> and then render it as an ngSwitchCase? """"""","The sentence """""" Is it possible to create a <ng-template #someReferenceId/> and then render it as an ngSwitchCase? """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""create a <ng-template #someReferenceId/> and then render it as an ngSwitchCase"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi, Im looking for a bit of advice with regards to an angularJs to angular 11 app. I have an angularJs component that requires a parent, but the parent has now been converted to an angular 11 component. Inside of the angular 11 parent component i have a method that the child calls on the childs init lifecycle. My question is how would i go about making my angular 11 component visible to the child component? """"""","The sentence """""" I have an angularJs component that requires a parent """""" uses <pattern>sth that requires</pattern> to indicate that the user expects ""angularJs component"" to have ""a parent"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" hey guys, i am looking for active github repositories that need technical revisions in the README files. It is for a technical writing project. :) """"""","The sentence """""" i am looking for active github repositories that need technical revisions in the README files """""" uses <pattern>looking for sth</pattern> to indicate that the user expects ""active github repositories"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """"""","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses an example start with <pattern>let's say I want to VB</pattern> to indicate that the user expects to ""set the width of some child element in a property"". The answer is YES.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
""""""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
""""""" Hi, when i am running the script i found the following output:18:18:37.986 [main] INFO o.d.o.l.ScoreIterationListener - Score at iteration 10 is 0.7203129577636719. What is the ""score"" mean? Does it refer to gradient value? """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
""""""" Hey everyone.  I have a short question about the code example from the CNN tutorial ( [<-LINK->] ). I had a look at the mnistdatafetcher. If I understand correctly it's fetching the image as float[]. Is it correct that the image is represented by a feature vector instead of a feature matrix? How do square kernels work on that? I guess I missed something somewhere. I hope you can help. """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
