issue,y,y_pred,result
can I use ethereum to make an application which is not related to cryptocurrency?,0,0,1
"Someone is puncutating sentences like this. Despite repeated explanation of how it works. I'm trying to resist asking them if they're trolling. Not sure what to do . When I asked Github to moderate on someone talking about ""forced diversity"", they said they'd monitor the account, but to ask Gitter moderators to look since they're closer to the issue I suspect they are trolling. Any advice ? I wonder if they're using a right-to-left device or something.",0,0,1
"Hi, is there a way to create private rooms? it's mentioned on the Billing page and I could swear I used them in the past but now just can't find a way to do it. Oh never mind, found the way to do it from theAdd A Roombutton. Wasn't clear to me from the new community creation workflow.",0,0,1
Hi! what will happen if two persons run the same contract to change the same global variable at the same timeTHX,1,0,0
"how do I join a channel from the IRC gateway? the usual IRC syntax #user/project doesn't work, even tho' the one channel I see via the IRC client has that same form mm odd enough I could join this channel from the irc client (where I'm typing this very line), but I cannot do the same with scopatz/xonsh ohhh wait, the github project got renamed, but the title via web interface stayed scopatz/xonsh my bad, sorry for the noise",0,0,1
"ok I'm a little werided out, I'm using the irc connection and I'm wondering why is the thing constantly rebooting itself at least 2-3 times a day? nope, it's still rebooting several times it did it twice last night apprently actually 4 times",1,1,1
Does anyone know of any npm packages or frameworks that can track network traffic from an native mobile app? and that works with a native app and not just a browser? Thanks. I use these desired caps for ios,0,0,1
Trying to implement Gitter for my org but email notifications dont seem to work. Any help is appreciated! I am expecting that I get an email notification when someone posts a message directly to me. But it has not worked until now. I went through the doc and made sure I have selected the right notifications. Maybe I am expecting something that is not available. Please let me know if that is the case. MadLittleMods:,0,0,1
hi i have a question i use a docker compose with 3 container one of this is mvc .net core api i need to call another service is into another container. I recived thi error message System.Net.Http.HttpRequestException: An error occurred while sending the request. ---> System.Net.Http.CurlException: Couldn't connect to server,0,0,1
"hello! can somebody help me? i have a docker compose file with two containers - elasticsearch and django. container with django, when building, depends on elasticsearch (it should be already running). but elastic doesnt seem to start before container with django starts to build. how can i set timeout or wait for elastic to start?",0,0,1
"I have some kind of problem with the gitter android app, any channel I go to is a blank page, I tried clearing cache and data for the app, does not help",1,1,1
"just a quick noob question. How would you compare enums? I was trying to do it like this:x.enumProp == 1, but I'm getting an error that states==can't be used like that.....",0,0,1
"Hi Folks, I am confused with this output [code]; how its output is coming 1,1,2, but I think it should be 1,undefined,2",0,1,0
I'm looking for a android mobile app - open source or commerical to search huge pdfs - i found one for IOS but couldn't find one for android. Can anyone suggest me ??? Is there is any software or template or mobile app does this for android,0,0,1
"Hello, I'm not understanding how the InMemoryLookupTable and VocabCache I provide to ParagraphVectors Builder (through the lookupTable and vocabCache methods) are being used. Even though I provide a prebuilt lookup table and vocab, the vocabulary is being rebuilt from scratch when I run fit(). I expected the behavior to be the same as when I provide a prebuilt model using the useExistingWordVectors method, which adds the document labels to the existing vocabulary, without rebuilding it. Can someone clarify how lookupTable and vocabCache are used? I can't quite figure it out from the documentation and source code. Thanks.",0,0,1
"I am encountering issues executing .sh within .js, maxBuffer error. Is there a bulletproof solution to do that? I was doing with [code]; but that does not stream the output apparently. Resulting in ENOBUFS error...",0,0,1
How does that work? Overlays? FS changes are not stored?,1,1,1
Anyone here knows how to clear a stucked transaction in Ether Wallet or from my Ether Wallet? tried with hiogh gas price and gets stuck Qhuesten_twitter:,0,0,1
is there an example that uses the BalancedPathFilter? I'm looking at the documentation and having a hard time figuring out how to use it. thanks. I'll try to change my document loading code to use that,0,0,1
i can't comment out the h1 element,1,1,1
Why is prependListener 'not a function' in node 6.0? I want it available on an emitter made global Is it something to do with inheritance? I'm just instantiating it asglobal.Emitter = new EventEmitterbutprependListeneris a no-go there,0,0,1
"Hi guys, I'm trying to keep only object on array with the newest date on objects that have ""resource_type"": ""diagnostic"". [code]. I can't use code :(. I ordered it by date, but I need to remove the oldests with [code]. @BertrandMarechal thanks, I'll try it",0,0,1
Hi everyone. what would be the best container to stash image data in to send over Socket.io ...FROM Node to Client(Browser) This is my code at the moment ->,1,0,0
"Hi ,Anyone here help me to get an idea about MicroService architecture in nodejs",1,0,0
"Hello, i have updated my appium to 1.16.0 . while running test suite, I am getting this error ""[debug] [W3C] Encountered internal error running command: Error: The instrumentation process cannot be initialized. Make sure the application under test does not crash and investigate the logcat output. "" does any body knows abt it? Thanks! toien44: hey were you able to fix this issue ? i am getting similar kind of issue",1,1,1
i want to by some of those ethereum machine but i dont have any idea what i can do with those can somebody explain me this,0,0,1
"If there's an organization on GitHub, how can I create a community for it on Gitter? I'm unable to see it in any of the options I've tried. I'm one of the owners of the organization. Thanks for the link! I can't see it, even though I can see my other orgs. So it's not my personal oauth that's causing the issue. How often does the gitter interface refresh the organization list? We created the github organization earlier this morning. Should I see it appear in gitter immediately?",0,0,1
"hello, Can someone please help me out for verifying Toast message, any workaround?",0,1,0
I can't open or build the project in my IDEA. IDEA is always telling me resolving dependencies of deeplearning4j examples. QAQ. How can I fix it?,0,0,1
"I've got a dumb question. I was looking into how to spin up a docker container when you are already in a docker container. People were mentioning using the docker socket (I'm not all that worried about security so this is fine). Are there any good tutorials on doing this? I've only seen a couple Stackoverflow posts, and I've never done something so silly before.",0,0,1
I can't uninstall docker.io from my WSL I have tried all sorts Considering uninstalling WSL and starting over Anyone else have this? I used Linux brew to install docker I think not sure about docker.io,1,1,1
"Hi Guys , I have installed Jdk but I am not able to set env variable , its showing .Permission denied when tried to open bash profile. ANy help on same would be grate?",0,0,1
"Hi I have a bit of an awkward issue regarding container to container connectivity whatever I export or publish, I only getConnection refusedwith curl full details here: it would be awsome if someone could have a look on that",1,1,1
hey there. Is it possible to immediate pass code from the command line to node? eg from cmd line: ah tnx :),0,0,1
"Hi guys, I am having the same issue as yesterday, and this after I created a MultidatasetIterator as you suggested. Here is the gist would appreciate guys if you have some pointers as to why the exception is happening (see gist). I've added some of the code in the gist. Not sure if the problem is in vector1 /vector2 AlexDBlack: could you please take a look at this gist",1,1,1
"Hey@nfactorialcan you help me out too? I am using express here But the above code I mentioned is different from what I typically do I am using bodyParser() in all my APIs except this one The problem here I see is that, when I use bodyParser() the above code doesn't get executed. When I disable bodyParser(), it works fine.",0,1,0
"Hi guys, hope you're all doing good :) In my app, I'm using Angular 11.0.1 and Client-Side Rendering I realized that in production mode Angular initializes my components twice (on every browser) which causes requests duplication. Does anyone know why is this happening, and how to prevent this? Thanks in advance",0,0,1
Hi Team .. anyone can help me how i can upgrade my appium 1.6.3 to 1.6.4? in Mac npm uninstall appiumand thennpm -g install appiumis this fine ?,0,0,1
"Hi, I am working within a company that runs a corporate MITM proxy server. We have the ROOT CA that is signing the SSL connections, and I am trying to get the docker engine to recognise it (for index.docker.io) the ROOT CA is placed in PEM format but docker still complains Any suggestions ? have also tried, specifically the error isx509: certificate signed by unknown authority",0,0,1
Anyone come across this issue? I'm trying to find a workaround but nothing seems to be working...debug] [MJSONWP] Matched JSONWP error code 10 to StaleElementReferenceError alexhidalgo: : This might help? -,0,0,1
"Hi, I'm having a little trouble with a design problem. So I have a Parent Component and a service that passes data to one of its grandchild components, i.e. Parent Component -> data -> Service -> data -> GrandChild Component. Now the new problem is I need data from the Parent Component in the grandchild component, i.e. Grandchild component -> click event -> Service -> needs data from Parent Component -> send data -> Service -> data -> Grandchild Compoennt. any ideas how to combat this problem?",0,0,1
"Hi, I am getting chrome Not reachable when I am doing context switch and resetapp sven14_gitlab: pass 'recreateChromeDriverSessions' capability as true",1,1,1
"I have a REST endpoint that takes ages to run completely (it validates all active tickets on a user and each validation takes ~500ms) so I decided to output the result of the validation of each ticket. That works just fine, when running the request manually in Chrome I get a steady stream of objects in the browser. But now I want to retrieve that data in our Angular application. Any idea how I can do that? HttpClient doesn't seem to support streaming data from the server.",0,0,1
"I m working on CNN for Cifar-10 dataset and while training i get the warning like-WARN org.deeplearning4j.optimize.solvers.BackTrackLineSearch: Value is infinite after jump. oldStep=1.0. score=NaN, score2=NaN. Scaling back step size...what it means ? Thanks for your information",1,0,0
"Okay, so I have a working (if inefficient) implementation of the SELU activation function. The only other thing I need is to implement ""alpha-dropout"", as described in . That is, randomly ""dropped"" inputs are set to-lambda*alphainstead of 0. Is there a way to do this in my own code? Thanks,@AlexDBlack. Can a preprocessor be applied to each layer? or would that solution only work to ""drop"" network inputs?",0,0,1
"How do you force a refresh of a profile picture on hover? the display and the hover avatar are out of sync MadLittleMods: I did that no luck, Im using github login MadLittleMods: Thanks must be my cache",0,0,1
"Hi all, I've been scouring the internet for an answer and I can't believe there's nothing about it. I have never used appium and before I spend the time learning the setup etc - can appium automate email clients? Can it open up gmail, or apple mail, and click on the email inside?",0,0,1
"I have a question? How much gigabytes will be downloaded if you put $ 2,500 worth of ether into a mist wallet? How much gigabytes will be downloaded if you put $ 2,500 worth of ether into a mist wallet? @doktor1897",1,1,1
"I have an HTML select dropdown which is inside a draggable element. When I select a value from the dropdown using Safari (works in Chrome, FF), the dragging of the element kicks in rather than just setting the dropdown value. Adding [code] doesn't help. Any idea?",0,0,1
"Got a weird issue where I am trying to add a customd.tsfile to add some methods to an existing module (express) but VSCode picks them up, but when I gulp them (using same tsconfig) it doesnt seem to pick them up can I just confirm the syntax should be like and as long as thed.tsfile which contains this is referenced in tsconfigfilessection it should work right?",0,0,1
"Hello, I have fully working angular app that has routing like [link]. Now I need to update it so it should contain language parameter in url, f.e: [link]. Problem is that I have a lot of routings and redirects written in code (router.navigate('/dashboard')) so I cant change my router because then all that redirects will not work. How I can update my app so these redirects will work after that update?",0,0,1
hello all anyone who can help me when using webpack with hybride crypto js. it gives me error ERROR in keymanager.js Module not found: Error: Can't resolve 'react-native',1,1,1
"Hi all, I get this error when trying the tsne plot echo $MAVEN_OPTS ?·-Xmx20480M -Xss128M -XX:MaxPermSize=20480M -XX:+CMSClassUnloadingEnabled. I am already providing 20 GB of memory. Does the error mean that I need even more memory?",0,0,1
"Hi everyone. Is there a way to archive an old inactive gitter room, so that people can't post there anymore, but the archives are still available? I don't want to delete the room, since the delete dialog box mentions that all messages will be deleted and we would like to keep the messages in the room as an archive.",0,0,1
"Hello, this isn't 100% angular question, I just need to deploy Angular app with nginx alongside and express ejs app but It seems not to work, this is my nginx config : [code].",0,0,1
im using Image Transform to in this code but transformed image not show what's wrong ? =)),1,0,0
how do I delete a community? or change its settings? I can't find any way to do that MadLittleMods: I would like the community to be called my project not my github org,0,0,1
Hi short question i have played around with lstm is it correct that dl4j currently only supports a generative lstm? rnn seem to work as usual...,1,0,0
"In ParagraphVectorsClassifierExample , i got same value for all iteration - "" o.d.m.s.SequenceVectors - Epoch: [2]; Words vectorized so far: [7590]; Lines vectorized so far: [30]; learningRate: [0.001]"" . Is this expected?",1,1,1
"Hello, I'm comparing Flow.js and TypeScript for potential migration of an existing medium-sized codebase. I got Flow.js working and everything, but I can't get TypeScript to recognize my ES6 imports. I tried setting baseUrl and paths, but neither seems to work. web search reveals no solution. This is vanilla ES6 module imports. No webpack/commonjs/amd. Here's what I have in tsconfig.json: directory structure looks like mithril.js, tsconfigis in the same directory asapp.app. is the root of everything the http server will serve.",0,0,1
has anyone tried to automate actions on the SKStoreReviewController dialog in ios 11+? I can't find the elements in the appium desktop inspector tree,0,0,1
"can i share buffer object between javascript and native addon that write by c++? result:native addon output: bbbbbbbbbbaaaaaaaaaaaaaaaajs output: aaaaaaaaaaaaaaaaaaaaaaaaaa. but, globalBuffer not change, why? backsapce: the code can output the right result backsapce: when the js code run in electron, can't get right result;",0,0,1
"Huh. I tried to log in to GitLab to leave a comment on that issue but I can't log in anymore. I wonder if it's because I clicked on the ""login with GitHub"" button when I shouldn't have since I do have a GitLab account.",0,0,1
Having an issues with navigation between rooms on both web app and desktop shell. First room visited and participants remain despite header bar and URL changing to next room clicked. The bayeaux WebSocket is also timing out occasionally or returning a gateway error from its reverse proxy.,1,1,1
Why is my promise not getting called logs I want to upload every image in req files to cloudinary asynchronously,0,0,1
Can I set up typescript to infer that my own custom react component will have the props provided by a higher order component without having to import the typings for the props that the HOC gives my custom component?,0,0,1
"I have a service X that currently is scoped to my component C and gets shared between that component and its descendants. Now I need to inject that service into a Resolver for C's route, but that service X isn't available at the Resolver level. Is there a way scope services at the Route level so they can be unique per-route natigation?",0,0,1
Can anyone help me with getting the loop to display a negative number [code].,0,1,0
"hey guys, running a docker exec cmd to a remote host and the output just stops showing? The process still seems to be running in the container on the remote host but there's no more stdout displayed on my machine? Is there a timeout or anything of the sort for that, or any reason it would stop?",1,1,1
"Hi All, when I'm trying to upgrade angular 8 to 11. I have one issue, can please any one help me this issue. Error meesage below: main.js:formatted:77430 Unhandled Promise rejection: Cannot read property 'deps' of undefined ; Zone: <root> ; Task: Promise.then ; Value: TypeError: Cannot read property 'deps' of undefined",0,0,1
"Hi there, anyone knows the best way to send self-made gif on gitter? Those gifs might be hundreds of megabytes. So if I just upload it to imgur and send with![](link from imgur), it might take a long time to load. I noticed that other apps might convert gifs into short videos, because of compression. And play that video with nonstop loops. Actually there's no difference for user experience. I wonder whether there are similar mechanisms in Gitter As I finally convinced my friend to use Gitter as daily IM, however, they complained a lot that there's no elegant way to send animations.",0,0,1
"ozgecan: Hi everybody , I want to ask a question about spark- hadoop I'm using DL4J and I want to training a file on hadoop with sparkCan I do that with DL4J? I understand I'm working about that topic AlexDBlack: Actually I'm using on document therefore its give me error about document type",0,0,1
"Hello, I am preparing docker for my project.. I have extended php:7.2.4-fpm-stretch image to install pdo_pgsql, but when i run php script it still tells me i dont have any extension lik PgSQL or PDO_PgSQL. Can anyone help me, please?",1,0,0
Hi all! Im trying to use the connect module. My question is using app.use(functionnamehere); does not necessarily execute the function?,0,0,1
import org.openqa.selenium.Keys I am trying to import the above for pycharm but it doesn't recognize it,0,0,1
"please let me know deleting node_modules is a survivable event. also i'm investigating the angular way of in-place editing of items in a collection - i planned to materalize (clone) the current item and use databinding on a single item - but this strategy is based on rendering a form for every item in the collectoin as per. We use ngFor to iterate over the entities and display each useras name and whether the user is an admin. Our next step is to create a reactive form presentation of our data. Since we work with a collection of entities, our best option would be to use a FormArray where each element in the array is a FormGroup that represents a single entity. how would you do it? itemized forms for the entire collection, or something fancy with pipes in the template, or something simple with databinding to item.current? please advise",0,0,1
"If anyone has a moment I'd appreciate it. I'm in the middle of converting from using the typings CLI to npm with@types. This is an angular + typescript + webpack project. if I useimport angular from â€˜angular', angular is an empty object (presumably because TypeScript removes unused imports). If I don't include that, I get error TS2686 related to using UMD globals.",0,0,1
"hey, so I've noticed that when idocker runeverything goes fine - but when I actually visit the webserver on my host browser the container exits after the first page load is this expected? I'd like the container to be persistent I'm running with",0,0,1
"Hey guys, I've been getting this NoSuchElementException when using normalizer.fit(trainDataIter) !gits !gist What could it be, a wrong path or something?",1,1,1
"hello, being newish to docker i set upon creating a rabbitmq container with docker-compose I have so many questionsâ€¦ Hope I good hereâ€¦ Am I correct in assuming its database is not preserved between restarts unless i map it to a local volume? Is providing an entrypoint in the docker-compose.yml preventing the entrypoint DockerFile entrypoint from the image from being run? And if, so how do would I add addional runtime configuration, such a user account etc. This image seems to run allright, but I can't seem to define ssl options as it (re)creates its own rabbitmq.config",0,0,1
anyone can help me? new to docker cannot run an instance of strapi says module not found :o,1,1,1
is it worth making a pull request for a 1-character documentation formatting fix?,0,0,1
My Delete and Edit routes dont work Cannot PUT /bars/5b6dd68b3856de342012d6b4 Cannot DELETE /bars/5b6dd68b3856de342012d6b4 can some one help me please?,1,1,1
"Do I need to specify loss function in the hidden layers for classification? Is XAVIER weight initialization ok for classification? @ me if anyone reply me, thank you",1,0,0
"Hi all, I'm a angular newbie, and I'm looking for names of famous opensource app based on angular : I'd like to read through some of their code to learn about a few very particular coding patterns and their real usage in the real world. To be clear, I'm talking of opensource end-user apps using angular, not tools/components/plugins for angular app dev.",0,0,1
"Has anyone been successful using ""mixins"" to replicate ""partial class"" concept in Angular? My file is huge and I want to split it just like partial classes in C# do.",0,0,1
I am getting this error only on iOS 10.3+ devices (works perfect on iOS 10.0). This error occurs 5 out of 10 times: Error: Could not install app: exited with code 253,1,1,1
ajay7868: any one let me know how to send response 200 when data insertvar error = new Error();error.status = 200;callback(error);return app.models.Subject.create({ ...data });i am sending data like this@usingloop back,0,0,1
"Hello , I have a question regarding the compiler and web workers. So in my case I have worker script and has the importScripts in it, what would I need to do to emulate/make it work? Because the compiler throws importScripts is not found/defined.",0,0,1
"guys , can u please check y its not working ? this is my schema ! the error is cannot read the propertyplayer",1,1,1
"AlexDBlack: , I just noticed that the DL4j-examples project are not on github anymore for checkout. Is that intended or I missed something recently?",1,1,1
"npatelautomation: Hi, I have upgraded my appium version to 1.10 and scrolling command is not working for me (browser.execute('mobile: scroll', {direction: dir});) Does anyone facing this issue? Kindly please help thanks",1,1,1
"Hi, I am using Visual Studio 2017 and am using webpack to compile the typescript files in the soluton The proble is visual studio also adds a command to the msbuild csproj file to compile the typescript too this slows down builds, and the output js is unused, so i'd like to remove it commenting the line out in the csproj works, but then VS Intellisense stops working (find all referneces etc). I there a way to make this work again with webpack? or somehow make intellisense work but disable compilation?",0,0,1
Does anyone know how to get later Platform versions for Android in the GUI? I've downloaded the newer ones from theAndroid SDK ManagerI only have 5.1 Lollipop (API Level 22) as the highest. I am running appium 1.6.4-beta and get the error however the address for appium is now [Appium] Appium REST http interface listener started on 0.0.0.0:4723 why is it looking for appium server at the address 127.0.0.1? Or how do I change either of them. The GUI 1.5.3. But I'm not using the GUI to run the test after that. I use the GUI to get the elements. My appium configs is It was the localhost.,0,0,1
"Hi everyone, I am thinking about the best way to smoothly scroll in to a position. Th scrollintoview method is nice, but its not completely cross-browser compatible and angular's viewportScroller doesn't appear to have the ability of smoth scrolling or any sort of animation. Any ideas where to start from?",0,0,1
how to use firebase for my project ? and Is it need express like backends ? can anyone pls tell .,0,0,1
hey guys. I develop on a network that doesn't have internet access. I have internet access on another machine. I can move stuff from the internet machine to the offline machine. What is the trick to making npm install packages from the cache? I'll try the add methods tomorrow. I simply copied my internet machine's cache to my offline and it didn't work. Hopefully because it doesn't know about them without a proper install/add thanks,0,0,1
